Aou,Seq,EnglishAbbrev,FrenchName,SpanishName,Code,EnglishFull,EnglishNoSpaces,Genus,Species,SpFamilyID,date_creat,ed,who_created,date_updat,ed,who_updated,Comm,ents
00630,1952,Gull-billed Tern,Sterne hansel,Gelochelidon nilotica,GBTE,Gull-billed Tern,GullbilledTern,Gelochelidon,nilotica,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00634,2044,unid Tern,sterne sp.,Sternid sp,UNTN,unid. Tern,unid.Tern,Sternid,sp,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00640,1956,Caspian Tern,Sterne caspienne,Hydroprogne caspia,CATE,Caspian Tern,CaspianTern,Hydroprogne,caspia,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00650,1960,Royal Tern,Sterne royale,Thalasseus maximus,ROYT,Royal Tern,RoyalTern,Thalasseus,maximus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00660,1964,Elegant Tern,Sterne élégante,Thalasseus elegans,ELTE,Elegant Tern,ElegantTern,Thalasseus,elegans,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00670,1972,Sandwich Tern,Sterne caugek,Thalasseus sandvicensis,SATE,Sandwich Tern,SandwichTern,Thalasseus,sandvicensis,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00690,1992,Forster's Tern,Sterne de Forster,Sterna forsteri,FOTE,Forster's Tern,ForstersTern,Sterna,forsteri,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00700,1980,Common Tern,Sterne pierregarin,Sterna hirundo,COTE,Common Tern,CommonTern,Sterna,hirundo,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00710,1988,Arctic Tern,Sterne arctique,Sterna paradisaea,ARTE,Arctic Tern,ArcticTern,Sterna,paradisaea,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00720,1976,Roseate Tern,Sterne de Dougall,Sterna dougallii,ROST,Roseate Tern,RoseateTern,Sterna,dougallii,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
